/home/xxwu/LLMGraphBench/LLMPredictor/../common/dataloader.py:6: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
[639, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[640, 'DB', 'DB (Databases)']
[641, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[643, 'AI', 'DB (Databases)']
[644, 'HCI (Human-Computer Interaction)', 'Agents']
[645, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[646, 'AI (Artificial Intelligence)', 'Agents']
[647, 'AI', 'IR (Information Retrieval)']
[649, 'AI', 'AI (Artificial Intelligence)']
[650, 'DB', 'IR (Information Retrieval)']
[651, 'DB', 'DB (Databases)']
[652, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[653, 'DB', 'DB (Databases)']
[655, 'DB', 'DB (Databases)']
[656, 'IR (Information Retrieval)', 'DB (Databases)']
[657, 'IR (Information Retrieval)', 'AI (Artificial Intelligence)']
[658, 'DB', 'DB (Databases)']
[659, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[660, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[661, 'DB', 'DB (Databases)']
[662, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[663, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[665, 'AI', 'Agents']
[666, 'AI', 'Agents']
[667, 'AI', 'HCI (Human-Computer Interaction)']
[668, 'DB', 'DB (Databases)']
[669, 'AI', 'DB (Databases)']
[670, 'AI', 'ML (Machine Learning)']
[671, 'AI', 'AI (Artificial Intelligence)']
[672, 'AI', 'Agents']
[673, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[675, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[676, 'Agents', 'IR (Information Retrieval)']
[677, 'DB (Databases)', 'DB (Databases)']
[679, 'DB', 'DB (Databases)']
[681, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[683, 'AI', 'Agents']
[684, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[685, 'Agents', 'Agents']
[686, 'AI', 'Agents']
[688, 'ML (Machine Learning)', 'ML (Machine Learning)']
[689, 'DB', 'DB (Databases)']
[690, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[692, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[694, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[695, 'Agents', 'Agents']
[696, 'HCI', 'HCI (Human-Computer Interaction)']
[697, 'AI', 'IR (Information Retrieval)']
[698, 'AI', 'DB (Databases)']
[699, 'AI', 'Agents']
[700, 'ML (Machine Learning)', 'AI (Artificial Intelligence)']
[701, 'AI', 'Agents']
[702, 'AI', 'IR (Information Retrieval)']
[704, 'AI', 'Agents']
[705, 'AI', 'HCI (Human-Computer Interaction)']
[708, 'HCI', 'HCI (Human-Computer Interaction)']
[709, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[710, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[711, 'IR (Information Retrieval)', 'DB (Databases)']
[712, 'AI', 'AI (Artificial Intelligence)']
[713, 'AI', 'ML (Machine Learning)']
[714, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[715, 'AI', 'AI (Artificial Intelligence)']
[716, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[717, 'Agents', 'Agents']
[719, 'AI', 'ML (Machine Learning)']
[721, 'AI', 'ML (Machine Learning)']
[722, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[723, 'ML (Machine Learning)', 'ML (Machine Learning)']
[724, 'ML (Machine Learning)', 'ML (Machine Learning)']
[725, 'AI', 'Agents']
[726, 'AI', 'Agents']
[729, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[730, 'DB (Databases)', 'DB (Databases)']
[732, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[733, 'AI', 'DB (Databases)']
[734, 'AI', 'ML (Machine Learning)']
[735, 'ML (Machine Learning)', 'ML (Machine Learning)']
[737, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[738, 'AI', 'AI (Artificial Intelligence)']
[740, 'Agents', 'Agents']
[741, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[742, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[743, 'AI', 'ML (Machine Learning)']
[744, 'ML (Machine Learning)', 'ML (Machine Learning)']
[745, 'ML (Machine Learning)', 'ML (Machine Learning)']
[747, 'AI', 'ML (Machine Learning)']
[748, 'AI', 'ML (Machine Learning)']
[749, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[750, 'AI', 'Agents']
[752, 'AI (Artificial Intelligence)', 'DB (Databases)']
[753, 'HCI', 'IR (Information Retrieval)']
[754, 'DB', 'DB (Databases)']
[755, 'AI', 'Agents']
[756, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[758, 'AI', 'ML (Machine Learning)']
[760, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[761, 'DB', 'DB (Databases)']
[763, 'DB (Databases)', 'DB (Databases)']
[764, 'DB (Databases)', 'DB (Databases)']
[766, 'HCI', 'HCI (Human-Computer Interaction)']
[767, 'AI', 'Agents']
[768, 'DB', 'DB (Databases)']
[769, 'ML (Machine Learning)', 'AI (Artificial Intelligence)']
[770, 'AI', 'Agents']
[771, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[772, 'AI', 'Agents']
[776, 'AI', 'Agents']
[777, 'Agents', 'Agents']
[779, 'Agents', 'Agents']
[780, 'AI', 'Agents']
[781, 'DB (Databases)', 'DB (Databases)']
[782, 'AI', 'Agents']
[783, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[784, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[785, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[787, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[788, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[789, 'Agents', 'Agents']
[790, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[791, 'DB', 'DB (Databases)']
[792, 'Agents', 'Agents']
[793, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[795, 'AI', 'Agents']
[797, 'AI', 'DB (Databases)']
[798, 'HCI', 'HCI (Human-Computer Interaction)']
[799, 'ML (Machine Learning)', 'ML (Machine Learning)']
[800, 'DB (Databases)', 'DB (Databases)']
[802, 'DB', 'DB (Databases)']
[805, 'AI', 'AI (Artificial Intelligence)']
[806, 'DB (Databases)', 'DB (Databases)']
[807, 'Agents', 'Agents']
[808, 'AI', 'Agents']
[809, 'AI', 'ML (Machine Learning)']
[810, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[811, 'AI', 'Agents']
[812, 'AI', 'Agents']
[813, 'AI', 'AI (Artificial Intelligence)']
[814, 'AI', 'AI (Artificial Intelligence)']
[815, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[816, 'ML (Machine Learning)', 'ML (Machine Learning)']
[817, 'DB', 'DB (Databases)']
[818, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[819, 'Agents', 'Agents']
[820, 'AI', 'Agents']
[821, 'DB', 'DB (Databases)']
[824, 'AI', 'Agents']
[826, 'DB (Databases)', 'DB (Databases)']
[827, 'AI', 'Agents']
[828, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[829, 'Agents', 'Agents']
[830, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[831, 'AI', 'ML (Machine Learning)']
[832, 'ML (Machine Learning)', 'ML (Machine Learning)']
[833, 'AI', 'ML (Machine Learning)']
[835, 'AI', 'IR (Information Retrieval)']
[836, 'ML (Machine Learning)', 'ML (Machine Learning)']
[837, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[838, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[839, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[841, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[842, 'ML (Machine Learning)', 'ML (Machine Learning)']
[843, 'IR (Information Retrieval)', 'DB (Databases)']
[844, 'ML (Machine Learning)', 'DB (Databases)']
[845, 'AI (Artificial Intelligence)', 'Agents']
[847, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[848, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[850, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[851, 'AI', 'Agents']
[853, 'DB', 'DB (Databases)']
[854, 'HCI', 'HCI (Human-Computer Interaction)']
[855, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[856, 'DB (Databases)', 'DB (Databases)']
[857, 'DB', 'DB (Databases)']
[858, 'ML (Machine Learning)', 'ML (Machine Learning)']
[859, 'AI', 'ML (Machine Learning)']
[860, 'AI', 'AI (Artificial Intelligence)']
[861, 'AI', 'DB (Databases)']
[862, 'DB (Databases)', 'DB (Databases)']
[863, 'IR (Information Retrieval)', 'DB (Databases)']
[864, 'AI', 'AI (Artificial Intelligence)']
[866, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[867, 'Agents', 'Agents']
[868, 'AI', 'IR (Information Retrieval)']
[869, 'DB', 'DB (Databases)']
[870, 'AI (Artificial Intelligence)', 'Agents']
[872, 'AI', 'DB (Databases)']
[873, 'AI', 'IR (Information Retrieval)']
[874, 'DB', 'DB (Databases)']
[875, 'AI', 'IR (Information Retrieval)']
[876, 'DB (Databases)', 'DB (Databases)']
[878, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[879, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[880, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[881, 'AI', 'Agents']
[882, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[883, 'AI (Artificial Intelligence)', 'Agents']
[884, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[885, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[886, 'DB', 'DB (Databases)']
[888, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[889, 'AI', 'ML (Machine Learning)']
[890, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[891, 'DB', 'DB (Databases)']
[892, 'ML (Machine Learning)', 'ML (Machine Learning)']
[893, 'AI', 'ML (Machine Learning)']
[894, 'AI', 'HCI (Human-Computer Interaction)']
[896, 'ML (Machine Learning)', 'ML (Machine Learning)']
[898, 'AI', 'ML (Machine Learning)']
[899, 'AI (Artificial Intelligence)', 'DB (Databases)']
[900, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[901, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[902, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[906, 'DB', 'IR (Information Retrieval)']
[907, 'AI', 'DB (Databases)']
[908, 'DB', 'DB (Databases)']
[909, 'AI', 'ML (Machine Learning)']
[910, 'DB', 'DB (Databases)']
[911, 'Agents', 'Agents']
[912, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[913, 'AI', 'AI (Artificial Intelligence)']
[914, 'AI (Artificial Intelligence)', 'Agents']
[916, 'AI', 'AI (Artificial Intelligence)']
[917, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[918, 'AI', 'AI (Artificial Intelligence)']
[919, 'ML (Machine Learning)', 'ML (Machine Learning)']
[920, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[921, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[922, 'DB', 'ML (Machine Learning)']
[923, 'DB', 'DB (Databases)']
[924, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[927, 'DB (Databases)', 'Agents']
[928, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[929, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[930, 'IR (Information Retrieval)', 'DB (Databases)']
[931, 'AI', 'IR (Information Retrieval)']
[932, 'ML (Machine Learning)', 'ML (Machine Learning)']
[933, 'AI', 'Agents']
[934, 'AI', 'ML (Machine Learning)']
[935, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[936, 'DB', 'DB (Databases)']
[937, 'DB', 'DB (Databases)']
[938, 'DB', 'DB (Databases)']
[939, 'HCI', 'HCI (Human-Computer Interaction)']
[940, 'AI', 'Agents']
[941, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[942, 'AI', 'Agents']
[943, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[944, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[945, 'DB (Databases)', 'DB (Databases)']
[946, 'AI', 'DB (Databases)']
[948, 'DB (Databases)', 'DB (Databases)']
[949, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[951, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[954, 'DB (Databases)', 'HCI (Human-Computer Interaction)']
[955, 'HCI', 'HCI (Human-Computer Interaction)']
[956, 'DB', 'DB (Databases)']
[958, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[959, 'DB (Databases)', 'DB (Databases)']
[960, 'DB', 'DB (Databases)']
[961, 'AI', 'ML (Machine Learning)']
[963, 'AI', 'ML (Machine Learning)']
[964, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[965, 'DB', 'DB (Databases)']
[966, 'ML (Machine Learning)', 'ML (Machine Learning)']
[968, 'AI', 'HCI (Human-Computer Interaction)']
[969, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[970, 'AI', 'HCI (Human-Computer Interaction)']
[971, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[973, 'AI', 'ML (Machine Learning)']
[974, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[975, 'DB', 'DB (Databases)']
[976, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[978, 'AI (Artificial Intelligence)', 'Agents']
[979, 'AI', 'ML (Machine Learning)']
[981, 'DB', 'DB (Databases)']
[983, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[984, 'AI', 'Agents']
[985, 'DB (Databases)', 'IR (Information Retrieval)']
[987, 'AI', 'DB (Databases)']
[990, 'AI', 'Agents']
[991, 'AI', 'HCI (Human-Computer Interaction)']
[992, 'DB', 'DB (Databases)']
[994, 'AI', 'IR (Information Retrieval)']
[995, 'ML (Machine Learning)', 'ML (Machine Learning)']
[996, 'AI', 'Agents']
[997, 'Agents', 'Agents']
[998, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1000, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1001, 'Agents', 'Agents']
[1004, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1005, 'AI', 'ML (Machine Learning)']
[1008, 'AI (Artificial Intelligence)', 'Agents']
[1009, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1010, 'AI', 'AI (Artificial Intelligence)']
[1011, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1012, 'Agents', 'Agents']
[1013, 'Agents', 'Agents']
[1014, 'IR (Information Retrieval)', 'DB (Databases)']
[1015, 'AI', 'ML (Machine Learning)']
[1016, 'IR (Information Retrieval)', 'Agents']
[1017, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1018, 'DB', 'DB (Databases)']
[1019, 'Agents', 'Agents']
[1020, 'AI', 'DB (Databases)']
[1022, 'AI', 'Agents']
[1023, 'AI', 'IR (Information Retrieval)']
[1026, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1028, 'DB (Databases)', 'DB (Databases)']
[1029, 'AI', 'Agents']
[1030, 'AI', 'AI (Artificial Intelligence)']
[1032, 'AI', 'ML (Machine Learning)']
[1033, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1034, 'DB', 'DB (Databases)']
[1036, 'DB (Databases)', 'DB (Databases)']
[1038, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1040, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1041, 'Agents', 'Agents']
[1042, 'HCI', 'HCI (Human-Computer Interaction)']
[1043, 'AI', 'DB (Databases)']
[1045, 'AI', 'Agents']
[1048, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1049, 'AI', 'Agents']
[1050, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[1051, 'AI', 'ML (Machine Learning)']
[1052, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1054, 'AI', 'Agents']
[1055, 'DB', 'DB (Databases)']
[1056, 'DB', 'DB (Databases)']
[1057, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1058, 'DB', 'DB (Databases)']
[1059, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1060, 'AI', 'IR (Information Retrieval)']
[1061, 'DB', 'DB (Databases)']
[1062, 'Agents', 'Agents']
[1067, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1068, 'DB', 'DB (Databases)']
[1071, 'AI', 'HCI (Human-Computer Interaction)']
[1073, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1074, 'IR (Information Retrieval)', 'DB (Databases)']
[1075, 'DB (Databases)', 'DB (Databases)']
[1077, 'AI', 'Agents']
[1078, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1079, 'Agents', 'Agents']
[1080, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1081, 'DB', 'DB (Databases)']
[1082, 'HCI', 'HCI (Human-Computer Interaction)']
[1083, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1085, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1086, 'IR (Information Retrieval)', 'DB (Databases)']
[1087, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1088, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1089, 'DB (Databases)', 'DB (Databases)']
[1090, 'Agents', 'IR (Information Retrieval)']
[1092, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[1093, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1094, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1095, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1097, 'HCI', 'HCI (Human-Computer Interaction)']
[1098, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1099, 'DB (Databases)', 'DB (Databases)']
[1100, 'DB', 'DB (Databases)']
[1101, 'DB', 'DB (Databases)']
[1103, 'DB', 'DB (Databases)']
[1104, 'Agents', 'Agents']
[1105, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1106, 'AI', 'ML (Machine Learning)']
[1107, 'AI', 'Agents']
[1108, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1109, 'DB', 'DB (Databases)']
[1110, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1111, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1112, 'AI', 'DB (Databases)']
[1115, 'AI', 'AI (Artificial Intelligence)']
[1117, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1118, 'AI', 'Agents']
[1119, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1124, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1125, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1127, 'DB', 'DB (Databases)']
[1130, 'AI', 'ML (Machine Learning)']
[1131, 'DB', 'DB (Databases)']
[1132, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1133, 'AI', 'ML (Machine Learning)']
[1134, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1135, 'AI', 'IR (Information Retrieval)']
[1136, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1137, 'ML (Machine Learning)', 'AI (Artificial Intelligence)']
[1139, 'AI', 'Agents']
[1140, 'AI', 'IR (Information Retrieval)']
[1143, 'AI', 'Agents']
[1144, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1145, 'AI', 'Agents']
[1146, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1147, 'AI', 'DB (Databases)']
[1148, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1151, 'AI', 'Agents']
[1152, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1153, 'DB', 'DB (Databases)']
[1154, 'Agents', 'IR (Information Retrieval)']
[1155, 'AI (Artificial Intelligence)', 'Agents']
[1157, 'Agents', 'Agents']
[1158, 'Agents', 'Agents']
[1159, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1161, 'AI', 'IR (Information Retrieval)']
[1162, 'AI', 'Agents']
[1163, 'AI', 'Agents']
[1164, 'Agents', 'IR (Information Retrieval)']
[1165, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1166, 'AI', 'Agents']
[1167, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1168, 'AI', 'DB (Databases)']
[1169, 'DB', 'DB (Databases)']
[1170, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1171, 'AI', 'HCI (Human-Computer Interaction)']
[1172, 'AI', 'Agents']
[1173, 'Agents', 'Agents']
[1174, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1175, 'AI', 'DB (Databases)']
[1176, 'AI', 'IR (Information Retrieval)']
[1177, 'IR (Information Retrieval)', 'DB (Databases)']
[1178, 'AI', 'ML (Machine Learning)']
[1179, 'AI', 'DB (Databases)']
[1180, 'HCI (Human-Computer Interaction)', 'ML (Machine Learning)']
[1182, 'DB (Databases)', 'DB (Databases)']
[1183, 'DB', 'DB (Databases)']
[1185, 'AI', 'DB (Databases)']
[1186, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1187, 'DB', 'DB (Databases)']
[1188, 'DB', 'DB (Databases)']
[1189, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1190, 'AI', 'AI (Artificial Intelligence)']
[1191, 'AI', 'ML (Machine Learning)']
[1192, 'AI', 'Agents']
[1193, 'AI', 'IR (Information Retrieval)']
[1194, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1195, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1196, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1200, 'DB', 'DB (Databases)']
[1201, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1202, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1204, 'DB (Databases)', 'HCI (Human-Computer Interaction)']
[1205, 'AI', 'Agents']
[1206, 'AI', 'ML (Machine Learning)']
[1208, 'AI', 'AI (Artificial Intelligence)']
[1209, 'AI (Artificial Intelligence)', 'Agents']
[1210, 'AI', 'Agents']
[1211, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1212, 'AI (Artificial Intelligence)', 'Agents']
[1214, 'DB', 'DB (Databases)']
[1215, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1216, 'HCI (Human-Computer Interaction)', 'Agents']
[1217, 'DB', 'DB (Databases)']
[1218, 'DB (Databases)', 'HCI (Human-Computer Interaction)']
[1219, 'HCI (Human-Computer Interaction)', 'DB (Databases)']
[1222, 'DB (Databases)', 'DB (Databases)']
[1223, 'AI', 'Agents']
[1224, 'DB', 'DB (Databases)']
[1225, 'Agents', 'Agents']
[1226, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1227, 'ML (Machine Learning)', 'HCI (Human-Computer Interaction)']
[1228, 'DB (Databases)', 'DB (Databases)']
[1229, 'DB', 'DB (Databases)']
[1230, 'DB', 'DB (Databases)']
[1231, 'Agents', 'Agents']
[1232, 'AI', 'Agents']
[1233, 'AI', 'AI (Artificial Intelligence)']
[1234, 'AI', 'IR (Information Retrieval)']
[1235, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1236, 'AI', 'DB (Databases)']
[1237, 'DB', 'DB (Databases)']
[1238, 'AI', 'DB (Databases)']
[1240, 'AI', 'AI (Artificial Intelligence)']
[1241, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1242, 'AI', 'IR (Information Retrieval)']
[1243, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1244, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1245, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1246, 'AI (Artificial Intelligence)', 'Agents']
[1247, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1248, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1250, 'DB', 'DB (Databases)']
[1251, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1254, 'DB (Databases)', 'DB (Databases)']
[1255, 'DB', 'DB (Databases)']
[1256, 'DB', 'DB (Databases)']
[1257, 'DB', 'IR (Information Retrieval)']
[1258, 'AI', 'Agents']
[1259, 'HCI', 'HCI (Human-Computer Interaction)']
[1261, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1262, 'AI', 'ML (Machine Learning)']
[1263, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1264, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1265, 'IR (Information Retrieval)', 'DB (Databases)']
[1266, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1267, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1269, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1270, 'AI', 'DB (Databases)']
[1271, 'DB', 'DB (Databases)']
[1272, 'AI', 'Agents']
[1273, 'AI', 'Agents']
[1274, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1276, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1277, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1278, 'DB (Databases)', 'DB (Databases)']
[1280, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1281, 'AI', 'DB (Databases)']
[1282, 'AI', 'Agents']
[1283, 'AI', 'DB (Databases)']
[1284, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1285, 'AI', 'Agents']
[1286, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1287, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1288, 'AI', 'ML (Machine Learning)']
[1289, 'Agents', 'Agents']
[1290, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1291, 'AI (Artificial Intelligence)', 'Agents']
[1292, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1293, 'AI', 'Agents']
[1294, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1295, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1297, 'AI', 'Agents']
[1298, 'DB', 'IR (Information Retrieval)']
[1299, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1301, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1303, 'DB', 'DB (Databases)']
[1304, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
